asn,country
39303,['RU']
29750,['US']
134378,['NZ']
267068,['BR']
35222,['RO']
41550,['UA']
199899,['PL']
55135,['US']
13831,['US']
15656,['TR']
62825,['US']
46895,['US']
42718,['NL']
198718,['RU']
198091,['PL']
24579,['UA']
136988,"['AU', 'SG']"
220,['US']
265262,['BR']
18490,['US']
39601,['BG']
399567,['JM']
263970,['BR']
34700,['UA']
52388,['AR']
136873,['ID']
28271,['BR']
328283,['AO']
32705,['CA']
269528,['BR']
266435,['BR']
13059,['RO']
201764,['DE']
53781,['US']
44171,['UA']
393268,['US']
28919,['AT']
200619,['RU']
43932,['PL']
36402,['US']
25103,['RO']
58557,['ID']
132898,['NZ']
7615,['BT']
41442,['PL']
207324,['FR']
45333,['AU']
266516,['BR']
267350,['BR']
38192,['BD']
263645,['BR']
39202,['GB']
136056,['ID']
199385,['GB']
39567,['FR']
262890,['BR']
1932,['US']
396142,['CA']
34434,['RU']
213174,['PL']
201679,['CH']
59345,['US']
32766,['US']
134691,['AU']
397732,['US']
269559,['BR']
30423,['US']
23240,['US']
43748,['UA']
399786,['CA']
22791,['US']
22811,['US']
37110,['MZ']
211565,['CH']
270770,['BR']
264968,['BR']
396892,['US']
42698,['DE']
328269,['ZW']
132083,['NZ']
44906,['RO']
204290,['DK']
204672,['DE']
44907,['AG']
54767,['US']
265965,['BR']
266858,['PY']
57278,['KW']
203448,['GE']
209468,['FR']
393300,['US']
204626,['PS']
46132,['US']
263034,['BR']
26964,['US']
134928,['IN']
7268,['US']
23976,['IN']
47485,['LV']
50991,['RO']
141368,['NR']
33710,['US']
21649,['US']
10671,['AR']
395152,['CA']
266809,['VE']
131397,['VN']
62092,['IT']
205393,['CH']
23274,['US']
19395,['US']
60799,['DE']
10248,['US']
13871,['US']
8364,['PL']
24529,['ID']
264787,['AR']
44598,['BG']
135758,['IN']
35433,['GB']
17983,['AU']
44821,['FR']
265531,"['US', 'MX']"
269191,['BR']
139449,['ID']
51211,['UA']
271258,['BR']
9946,['KR']
137463,['AU']
199259,['RU']
140924,['IN']
31304,['PL']
50822,['RU']
11529,['US']
266814,['PY']
212169,['GB']
24020,['MY']
18255,['AU']
197287,['UA']
33940,['DE']
199544,['SE']
263702,['CL']
62276,['AT']
33125,['US']
211356,['AL']
13022,['AT']
270240,['BR']
40703,"['CL', 'US', 'AR', 'GB']"
133923,['NP']
49662,['UA']
40050,['US']
42123,['RO']
36204,['US']
5413,"['GB', 'US']"
57763,['AT']
265898,['BR']
11345,['US']
23590,['KR']
206435,['RU']
201786,['RU']
46337,"['NL', 'US']"
31510,['AT']
51434,['ME']
25082,['UA']
197228,['UA']
22891,['US']
396367,['CA']
198851,['PL']
266960,['BR']
4927,['US']
328285,['ZA']
397279,['US']
134295,['IN']
263623,['BR']
35062,['DE']
27784,['EC']
41413,['KZ']
41039,['UA']
17189,['US']
56838,['PL']
205537,['ES']
36569,['US']
29857,['PR']
40471,['US']
398771,"['US', 'CA']"
48473,['SK']
38481,"['US', 'SG']"
398171,['US']
398009,['US']
14922,['US']
36769,['US']
47748,['BG']
11888,['MX']
49218,['RU']
205459,['UA']
136096,['ID']
39667,['UA']
29790,['US']
135012,['TH']
136300,['IN']
22977,['US']
56923,['RU']
57661,['RU']
28603,['BR']
266414,['BR']
137661,['IN']
13038,['GR']
132443,['BD']
135139,['IN']
31242,['PL']
396534,['US']
48098,['RU']
26526,['US']
21134,['IT']
11052,['US']
328147,['SN']
213281,['DE']
41321,['DE']
31578,['IL']
60264,['DE']
52131,['UA']
